# zeta, rs_eq
2.261306532661055135e-01,4.264553639598917201e+00
2.311557788942411873e-01,4.268108244200666590e+00
2.361809045223768611e-01,4.271739257697030112e+00
2.412060301505125626e-01,4.275446574012475409e+00
2.462311557786482363e-01,4.279230085407094819e+00
2.512562814067839101e-01,4.283089682516119545e+00
2.562814070349195839e-01,4.287025254390322893e+00
2.613065326630552576e-01,4.291036688537253063e+00
2.663316582911909314e-01,4.295123870963341695e+00
2.713567839193266051e-01,4.299286686216831299e+00
2.763819095474622789e-01,4.303525017431599764e+00
2.814070351755979527e-01,4.307838746371799310e+00
2.864321608037336264e-01,4.312227753477372971e+00
2.914572864318693557e-01,4.316691917910433496e+00
2.964824120600050295e-01,4.321231117602493121e+00
3.015075376881407032e-01,4.325845229302540673e+00
3.065326633162763770e-01,4.330534128626008616e+00
3.115577889444120507e-01,4.335297690104564339e+00
3.165829145725477245e-01,4.340135787236817144e+00
3.216080402006833983e-01,4.345048292539813062e+00
3.266331658288190720e-01,4.350035077601485334e+00
3.316582914569547458e-01,4.355096013133890054e+00
3.366834170850904195e-01,4.360230969027367287e+00
3.417085427132260933e-01,4.365439814405508656e+00
3.467336683413617671e-01,4.370722417681077054e+00
3.517587939694974408e-01,4.376078646612719503e+00
3.567839195976331701e-01,4.381508368362579731e+00
3.618090452257688439e-01,4.387011449554791831e+00
3.668341708539045176e-01,4.392587756334831894e+00
3.718592964820401914e-01,4.398237154429740059e+00
3.768844221101758651e-01,4.403959509209211198e+00
3.819095477383115389e-01,4.409754685747602210e+00
3.869346733664472127e-01,4.415622548886728005e+00
3.919597989945828864e-01,4.421562963299598970e+00
3.969849246227185602e-01,4.427575793555039496e+00
4.020100502508542339e-01,4.433660904183101437e+00
4.070351758789899077e-01,4.439818159741442116e+00
4.120603015071255815e-01,4.446047424882493715e+00
4.170854271352612552e-01,4.452348564421586552e+00
4.221105527633969845e-01,4.458721443405860185e+00
4.271356783915326583e-01,4.465165927184094663e+00
4.321608040196683320e-01,4.471681881477410414e+00
4.371859296478040058e-01,4.478269172450796809e+00
4.422110552759396795e-01,4.484927666785541334e+00
4.472361809040753533e-01,4.491657231752498092e+00
4.522613065322110271e-01,4.498457735286231163e+00
4.572864321603467008e-01,4.505329046059989295e+00
4.623115577884823746e-01,4.512271033561570555e+00
4.673366834166180483e-01,4.519283568169990772e+00
4.723618090447537221e-01,4.526366521233004647e+00
4.773869346728893959e-01,4.533519765145497260e+00
4.824120603010251251e-01,4.540743173428666069e+00
4.874371859291607989e-01,4.548036620810041342e+00
4.924623115572964727e-01,4.555399983304321054e+00
4.974874371854321464e-01,4.562833138295022017e+00
5.025125628135678202e-01,4.570335964616920599e+00
5.075376884417034384e-01,4.577908342639259054e+00
5.125628140698391677e-01,4.585550154349782304e+00
5.175879396979748970e-01,4.593261283439480813e+00
5.226130653261105152e-01,4.601041615388113293e+00
5.276381909542462445e-01,4.608891037550457703e+00
5.326633165823818628e-01,4.616809439243262148e+00
5.376884422105175920e-01,4.624796711832898310e+00
5.427135678386532103e-01,4.632852748823721001e+00
5.477386934667889395e-01,4.640977445947015667e+00
5.527638190949245578e-01,4.649170701250620930e+00
5.577889447230602871e-01,4.657432415189123098e+00
5.628140703511959053e-01,4.665762490714642219e+00
5.678391959793316346e-01,4.674160833368112833e+00
5.728643216074672528e-01,4.682627351371078994e+00
5.778894472356029821e-01,4.691161955717921828e+00
5.829145728637387114e-01,4.699764560268556934e+00
5.879396984918743296e-01,4.708435081841385816e+00
5.929648241200100589e-01,4.717173440306602572e+00
5.979899497481456772e-01,4.725979558679786585e+00
6.030150753762814064e-01,4.734853363215556499e+00
6.080402010044170247e-01,4.743794783501420476e+00
6.130653266325527539e-01,4.752803752551583827e+00
6.180904522606883722e-01,4.761880206900758417e+00
6.231155778888241015e-01,4.771024086697688738e+00
6.281407035169597197e-01,4.780235335798501239e+00
6.331658291450954490e-01,4.789513901859635325e+00
6.381909547732310672e-01,4.798859736430214795e+00
6.432160804013667965e-01,4.808272795043777137e+00
6.482412060295025258e-01,4.817753037309160824e+00
6.532663316576381440e-01,4.827300427000395189e+00
6.582914572857738733e-01,4.836914932145397472e+00
