# q/kF, Gs(q) RA, Ga(q) RA, Gn(q) RA, G+(q) RA, G-(q) RA,G+ ALDA, G+(q) Corradini, G+(q) rMCP07
7.812500000000000000e-01,1.973907399105217508e-01,9.823344868829518572e-02,-1.740170782355512577e-02,1.799890320869666216e-01,8.083174086474005648e-02,1.744777157173620363e-01,1.783746290330999462e-01,1.687377009855482168e-01
8.593750000000001110e-01,2.407571394162016931e-01,1.201623621217767085e-01,-2.136482730707467761e-02,2.193923121091270190e-01,9.879753481470203436e-02,2.111180360180081039e-01,2.162859331261985929e-01,2.028116578353068022e-01
9.375000000000000000e-01,2.890877024925089800e-01,1.447003613951589607e-01,-2.580591496384181116e-02,2.632817875286671550e-01,1.188944464313171495e-01,2.512479106330013923e-01,2.577510551242422898e-01,2.396322329993665068e-01
1.015625000000000000e+00,3.426209581657662095e-01,1.719747653726031722e-01,-3.073675735163031164e-02,3.118842008141359257e-01,1.412380080209728606e-01,2.948673395623418458e-01,3.026344202014195628e-01,2.790807583383444479e-01
1.093750000000000000e+00,4.015760681417325784e-01,2.021010160258396304e-01,-3.616110151211030660e-02,3.654149666296222509e-01,1.659399145137293308e-01,3.419763228060295757e-01,3.507481814304317380e-01,3.210277211591762714e-01
1.171875000000000000e+00,4.660943310926011773e-01,2.351625314134795364e-01,-4.207091677958692960e-02,4.240234143130142686e-01,1.930916146338925998e-01,3.925748603640646373e-01,4.018491853005206060e-01,3.653275373053380681e-01
1.250000000000000000e+00,5.361407656381748099e-01,2.711793099743111113e-01,-4.844168429296734357e-02,4.876990813452074525e-01,2.227376256813437538e-01,4.466629522364468641e-01,4.556382125272849803e-01,4.118120715103474327e-01
1.328124999999999778e+00,6.113538183065305720e-01,3.100609736195585331e-01,-5.522654386019665296e-02,5.561272744463339190e-01,2.548344297593618801e-01,5.042405984231762561e-01,5.117616964607898389e-01,4.602839794609618895e-01
1.406250000000000000e+00,6.908394020854654594e-01,3.515395642676915067e-01,-6.234914272622164855e-02,6.284902593592438524e-01,2.891904215414698442e-01,5.653077989242530910e-01,5.698159754633740359e-01,5.105112799777070665e-01
1.484375000000000000e+00,7.729281957274781734e-01,3.950784338789689043e-01,-6.969507970707329580e-02,7.032331160204048359e-01,3.253833541718956224e-01,6.298645537396770910e-01,6.293539850371461242e-01,5.622245723336539713e-01
1.562500000000000000e+00,8.549582935627711988e-01,4.397576590210185987e-01,-7.710194068168749193e-02,7.778563528810836791e-01,3.626557183393310790e-01,6.979108628694481453e-01,6.898941520676861172e-01,6.151179433362821136e-01
1.640625000000000000e+00,9.332031626190880891e-01,4.841460283379934171e-01,-8.434810274903833949e-02,8.488550598700497218e-01,3.997979255889551053e-01,7.694467263135666979e-01,7.509311275885830472e-01,6.688539498589982646e-01
1.718750000000000222e+00,1.003103737068419266e+00,5.261872922404878805e-01,-9.114077314621903125e-02,9.119629639222002204e-01,4.350465190942688354e-01,8.444721440720324157e-01,8.119478939777149407e-01,7.230723106748863094e-01
1.796875000000000000e+00,1.059917865878170717e+00,5.631539227846994455e-01,-9.710415143957681905e-02,9.628137144385938706e-01,4.660497713451225987e-01,9.229871161448451877e-01,8.724287128719094842e-01,7.774013152975995933e-01
1.875000000000000000e+00,1.099718243438714049e+00,5.917470835414497810e-01,-1.017691706567747378e-01,9.979490727819393392e-01,4.899779128846750709e-01,1.004991642532005569e+00,9.318723440452832962e-01,8.314706091769337171e-01
1.953124999999999778e+00,1.120409427260910862e+00,6.084251100815609714e-01,-1.045669597704293602e-01,1.015842467490481571e+00,5.038581503111315696e-01,1.090485723233512561e+00,9.898049632118985919e-01,8.849239826436083867e-01
2.031250000000000000e+00,1.122299212014633341e+00,6.099920270202845440e-01,-1.048288850470833061e-01,1.017470326967550021e+00,5.051631419732012240e-01,1.179469358249367383e+00,1.045792236125488550e+00,9.374310116866680920e-01
2.109375000000000000e+00,1.107932260792917845e+00,5.943547807685870543e-01,-1.017965817855079197e-01,1.006135679007409856e+00,4.925581989830791207e-01,1.271942547579569371e+00,1.099450063572299907e+00,9.886967554669208180e-01
2.187500000000000000e+00,1.081290761585250504e+00,5.612049189289322060e-01,-9.464547595688493908e-02,9.866452856283656203e-01,4.665594429720472669e-01,1.367905291224118303e+00,1.150453591640732132e+00,1.038469093405699484e+00
2.265625000000000000e+00,1.046772202529121953e+00,5.123125820087904847e-01,-8.252452519720258894e-02,9.642476773319194061e-01,4.297880568115878819e-01,1.467357589183014843e+00,1.198544177877549188e+00,1.086543604510522121e+00
2.343750000000000000e+00,1.008356025146499135e+00,4.512436612021634152e-01,-6.461291240451540185e-02,9.437431127419837473e-01,3.866307487976480273e-01,1.570299441456258549e+00,1.243534110071328191e+00,1.132766118377174669e+00
2.421875000000000000e+00,9.691521236520120874e-01,3.825864526146673938e-01,-4.019107032601130364e-02,9.289610533260007630e-01,3.423953822886560694e-01,1.676730848043849198e+00,1.285308983932635485e+00,1.177033201019220154e+00
2.500000000000000000e+00,9.313012686366691772e-01,3.110092335160956067e-01,-8.719072395732807221e-03,9.225821962409364030e-01,3.022901611203627770e-01,1.786651808945787456e+00,1.323827752767751331e+00,1.219290898483214036e+00
