# q/kF, Gs(q) RA, Ga(q) RA, Gn(q) RA, G+(q) RA, G-(q) RA,G+ ALDA, G+(q) Corradini, G+(q) rMCP07
9.375000000000000000e-01,2.559097922378633094e-01,2.057091525377888752e-01,-1.630742875948501883e-02,2.396023634783782941e-01,1.894017237783038599e-01,2.284770364872432680e-01,2.678743352415944856e-01,2.101461620756422954e-01
1.015625000000000000e+00,3.031715781981731417e-01,2.445983342263006732e-01,-1.942596542130308954e-02,2.837456127768700487e-01,2.251723688049975802e-01,2.681431886551673971e-01,3.156542706863020298e-01,2.432338328348644108e-01
1.093750000000000000e+00,3.551447635676645009e-01,2.876257955052003434e-01,-2.285703935479089025e-02,3.322877242128736142e-01,2.647687561504094567e-01,3.109826329965255653e-01,3.658959589309562777e-01,2.779351763907877970e-01
1.171875000000000000e+00,4.119287790707986119e-01,3.349396894649548373e-01,-2.659539131637790599e-02,3.853333877544207198e-01,3.083442981485769452e-01,3.569953695113176062e-01,4.177866047202699051e-01,3.140322762225318809e-01
1.249999999999999778e+00,4.734761110698607056e-01,3.865948023896874086e-01,-3.062516720283977451e-02,4.428509438670209519e-01,3.559696351868476549e-01,4.061813981995435197e-01,4.704282809856559222e-01,3.512865014907604611e-01
1.328125000000000000e+00,5.394735615655162908e-01,4.424744051286698121e-01,-3.491617520784352086e-02,5.045573863576727769e-01,4.075582299208262982e-01,4.585407190612034722e-01,5.228783888358219389e-01,3.894366437502408407e-01
1.406250000000000000e+00,6.091788277520814310e-01,5.021769189813379830e-01,-3.941933703780034493e-02,5.697594907142811138e-01,4.627575819435376658e-01,5.140733320962973529e-01,5.741936204849463765e-01,4.281997942913659538e-01
1.484375000000000000e+00,6.812233813426876727e-01,5.648633060471114353e-01,-4.406128800519340527e-02,6.371620933374942952e-01,5.208020180419180578e-01,5.727792373048251617e-01,6.234741850373859418e-01,4.672755715027357981e-01
1.562500000000000000e+00,7.534230469446562273e-01,6.290723907818133176e-01,-4.873815904140565286e-02,7.046848879032505675e-01,5.803342317404076578e-01,6.346584346867869542e-01,6.699051640324316104e-01,5.063535375004610817e-01
1.640625000000000000e+00,8.226820187720057520e-01,6.925349134024919584e-01,-5.330870580047001456e-02,7.693733129715357721e-01,6.392262076020219785e-01,6.997109242421823971e-01,7.127922338244015998e-01,5.451229432221200710e-01
1.718750000000000000e+00,8.851151637650609416e-01,7.520549292452139989e-01,-5.758715288483683137e-02,8.275280108802240964e-01,6.944677763603771536e-01,7.679367059710120458e-01,7.515895719738204805e-01,5.832835306612749182e-01
1.796875000000000000e+00,9.365022005138141648e-01,8.035698340521083560e-01,-6.133640723588957427e-02,8.751657932779245419e-01,7.422334268162187332e-01,8.393357798732756780e-01,7.859184855630818589e-01,6.205560729662378261e-01
1.875000000000000000e+00,9.730747394375032222e-01,8.425163078249976456e-01,-6.426266226473953402e-02,9.088120771727636882e-01,7.782536455602581116e-01,9.139081459489730719e-01,8.155760842484034434e-01,6.566915761836703558e-01
1.953125000000000000e+00,9.924318911979307378e-01,8.645669431678076888e-01,-6.601283273241639882e-02,9.264190584655143113e-01,7.985541104353912623e-01,9.916538041981044493e-01,8.405340948430215509e-01,6.914784545945340533e-01
2.031250000000000000e+00,9.942095595446475143e-01,8.666285355000170609e-01,-6.617665142664252986e-02,9.280329081180049844e-01,8.004518840733745311e-01,1.072572754620669588e+00,8.609286110219376287e-01,7.247473847707580630e-01
2.109375000000000000e+00,9.801709918829014656e-01,8.477684313813899086e-01,-6.429548041698053551e-02,9.158755114659209440e-01,7.834729509644093870e-01,1.156664997216669155e+00,8.770421394438158158e-01,7.563738543058552422e-01
2.187500000000000000e+00,9.536716358420604944e-01,8.096359546998708190e-01,-5.987973728976917626e-02,8.937918985522913529e-01,7.497562174101016774e-01,1.243930531986102261e+00,8.892797080422900624e-01,7.862786211341467046e-01
2.265625000000000000e+00,9.187730359716720363e-01,7.561263879024446855e-01,-5.243608035702347625e-02,8.663369556146485184e-01,7.036903075454211676e-01,1.334369358928969573e+00,8.981410281462005596e-01,8.144264003913528338e-01
2.343750000000000000e+00,8.793939256814197192e-01,6.924209202010547237e-01,-4.150397425014468872e-02,8.378899514312749819e-01,6.509169459509099864e-01,1.427981478045270425e+00,9.041907520502174833e-01,8.408231269368116045e-01
2.421875000000000000e+00,8.387580366171829560e-01,6.238373662145936249e-01,-2.669901708134030799e-02,8.120590195358426966e-01,5.971383491332533655e-01,1.524766889335005482e+00,9.080287595528429012e-01,8.655121322980354748e-01
2.499999999999999556e+00,7.991868134645959687e-01,5.549285295856013489e-01,-7.757851535220252302e-03,7.914289619293757294e-01,5.471706780503811096e-01,1.624725592798174079e+00,9.102621701729289860e-01,8.885695466892022942e-01
